	location	address	adname	cityname	id	importance	name	pname	tel	type	typecode	经	纬	keywords
37	116.126433,24.308374	江边路17-17号	梅江区	梅州市	B0FFG838RP	[]	华硕(旗舰店)	广东省	[]	购物服务;家电电子卖场;数码电子	060306	116.126433	24.308374	华硕
38	120.968875,28.115887	民丰路66号	乐清市	温州市	B024105FZC	[]	华硕(民丰路)	浙江省	0577-62592816	购物服务;家电电子卖场;数码电子	060306	120.968875	28.115887	华硕
39	106.709426,26.573713	公园南路38号	南明区	贵阳市	B0FFFGM15Y	[]	华硕(都司路)	贵州省	[]	购物服务;家电电子卖场;数码电子	060306	106.709426	26.573713	华硕
40	116.332104,39.729116	黄村镇兴华大街三段57号	大兴区	北京市	B0FFG8GVNQ	[]	华硕(大兴专卖店)	北京市	010-69209775;13391717196	购物服务;家电电子卖场;数码电子	060306	116.332104	39.729116	华硕
41	121.481129,31.225487	淮海东路99号新尚数码广场F3层	黄浦区	上海市	B0FFI6ONDC	[]	华硕(新尚数码广场)	上海市	[]	购物服务;家电电子卖场;数码电子	060306	121.481129	31.225487	华硕
42	121.480974,31.225383	淮海东路99号新尚数码广场F1层	黄浦区	上海市	B0FFI6ONBG	[]	华硕(新尚数码广场)	上海市	[]	购物服务;家电电子卖场;数码电子	060306	121.480974	31.225383	华硕
43	117.382473,37.778948	建设街568号	庆云县	德州市	B02160PJPO	[]	华硕(建设街)	山东省	15853468640	购物服务;家电电子卖场;数码电子	060306	117.382473	37.778948	华硕
44	116.413896,39.786157	南小街路五条与芳源西路交叉口东南50米	大兴区	北京市	B0FFF0FW38	[]	华硕(芳源西路)	北京市	15910813030	购物服务;家电电子卖场;数码电子	060306	116.413896	39.786157	华硕
45	114.349535,36.114427	赛博数码广场07-08号	北关区	安阳市	B0FFG11Q09	[]	华硕(自由路)	河南省	[]	购物服务;家电电子卖场;数码电子	060306	114.349535	36.114427	华硕
46	114.654741,33.614921	八一大道与交通大道交叉口向北50米路西	川汇区	周口市	B0FFG2TLDC	[]	华硕(育新街)	河南省	15138226661	购物服务;家电电子卖场;数码电子	060306	114.654741	33.614921	华硕
47	113.866342,22.943972	寮步镇石步村石大路130号	东莞市	东莞市	B03017VW50	[]	华硕(幸福店)	广东省	[]	购物服务;家电电子卖场;数码电子	060306	113.866342	22.943972	华硕
48	113.668221,34.799413	东风路8号院3层324室	金水区	郑州市	B0FFFZRVX6	[]	华硕(外运汇科总店)	河南省	15093065621;15838204711	购物服务;家电电子卖场;数码电子	060306	113.668221	34.799413	华硕
49	111.515368,32.544592	大坝一路安康小区门口(汉江集团一卡通营业厅对面)	丹江口市	十堰市	B02CF0444V	[]	华硕(沙陀营北路)	湖北省	[]	购物服务;家电电子卖场;数码电子	060306	111.515368	32.544592	华硕
50	112.552382,37.855108	新建南路20号三友电器1F层	迎泽区	太原市	B0FFHIFUEB	[]	华硕(三友电器)	山西省	[]	购物服务;家电电子卖场;数码电子	060306	112.552382	37.855108	华硕
51	123.427339,41.766945	三好街78号	和平区	沈阳市	B0FFG898EW	[]	华硕(三好街)	辽宁省	[]	购物服务;家电电子卖场;数码电子	060306	123.427339	41.766945	华硕
52	101.266844,26.626511	鲤河街102号附近	华坪县	丽江市	B0378151JF	[]	华硕(鲤河街)	云南省	[]	购物服务;家电电子卖场;数码电子	060306	101.266844	26.626511	华硕
53	107.989002,22.156036	民政路东50米	上思县	防城港市	B03020LX6W	[]	华硕(民政路)	广西壮族自治区	[]	购物服务;家电电子卖场;数码电子	060306	107.989002	22.156036	华硕
54	116.206811,39.933405	北工大北街与田村路交叉口东南50米	石景山区	北京市	B0FFH18M19	[]	华硕(北工大北街)	北京市	[]	购物服务;家电电子卖场;数码电子	060306	116.206811	39.933405	华硕
55	113.571417,37.334249	云龙街与永和路交叉口东50米	和顺县	晋中市	B01620MWG4	[]	华硕(沙巷街)	山西省	[]	购物服务;家电电子卖场;数码电子	060306	113.571417	37.334249	华硕
56	106.225929,29.588672	中山南路42号	璧山区	重庆市	B0FFGW0H6J	[]	华硕(中山南路)	重庆市	[]	购物服务;家电电子卖场;数码电子	060306	106.225929	29.588672	华硕
57	117.355499,34.288133	大庙街道金山桥经济开发区大庙镇春晖中学对面一百米	贾汪区	徐州市	B0FFFT49XG	[]	华硕专卖	江苏省	15895238508	购物服务;家电电子卖场;数码电子	060306	117.355499	34.288133	华硕
58	113.887546,35.272051	和平大道南	卫滨区	新乡市	B0FFFWNOOF	[]	华硕橱柜	河南省	[]	购物服务;家居建材市场;家具城	060602	113.887546	35.272051	华硕
59	106.509081,29.560313	建新西路与鸿恩二路交叉口东50米	江北区	重庆市	B0FFHER7I6	[]	华硕科技	重庆市	[]	购物服务;家电电子卖场;数码电子	060306	106.509081	29.560313	华硕
60	115.819288,32.896017	慧湖路中央豪景小区北面5号楼	颍泉区	阜阳市	B0FFFY60PL	[]	华硕电脑	安徽省	15357600338;13625587788	购物服务;购物相关场所;购物相关场所	060000	115.819288	32.896017	华硕
61	114.291673,35.740294	兴鹤大街139号	淇滨区	鹤壁市	B0FFFOGPNP	[]	华硕电脑	河南省	[]	购物服务;家电电子卖场;家电电子卖场	060300	114.291673	35.740294	华硕
62	100.553085,25.477716	文苑路与清红路交叉口南150米	祥云县	大理白族自治州	B0368008NH	[]	华硕电脑	云南省	[]	购物服务;专卖店;专营店	061200	100.553085	25.477716	华硕
63	122.126055,40.274517	丁屯路与辽东湾大街交叉口东北50米	鲅鱼圈区	营口市	B01A114IDF	[]	华硕电脑	辽宁省	0417-6250417	购物服务;购物相关场所;购物相关场所	060000	122.126055	40.274517	华硕
64	111.224767,35.346775	西湖南路7号楼15号商铺	闻喜县	运城市	B01670MKBB	[]	华硕电脑	山西省	13734294917	购物服务;家电电子卖场;数码电子	060306	111.224767	35.346775	华硕
65	120.356825,36.080877	台东一路80号苏宁电器1楼	市北区	青岛市	B0FFFYFPC0	[]	华硕电脑	山东省	[]	购物服务;家电电子卖场;数码电子	060306	120.356825	36.080877	华硕
66	101.445610,36.043326	迎宾东路2-8号	贵德县	海南藏族自治州	B03CE0MLD0	[]	华硕电脑	青海省	15309718998	购物服务;家电电子卖场;数码电子	060306	101.445610	36.043326	华硕
67	116.371110,39.968638	北太平庄路18号城建大厦A座1层	海淀区	北京市	B0FFFFSZ65	[]	华硕电脑	北京市	[]	购物服务;家电电子卖场;家电电子卖场	060300	116.371110	39.968638	华硕
68	110.235802,32.217905	辕门街13-11号附近	竹山县	十堰市	B0FFGB4WZ0	[]	华硕电脑	湖北省	[]	购物服务;购物相关场所;购物相关场所	060000	110.235802	32.217905	华硕
69	104.070702,30.654302	盐市口大业路16号大地·城市脉搏1层	锦江区	成都市	B0FFFXU7T7	[]	华硕电脑	四川省	[]	购物服务;家电电子卖场;数码电子	060306	104.070702	30.654302	华硕
70	114.651222,30.590391	学林路108号	新洲区	武汉市	B0FFG8XQTA	[]	华硕电脑	湖北省	027-89705923;17771773277	购物服务;家电电子卖场;数码电子	060306	114.651222	30.590391	华硕
71	110.586380,27.903959	电脑街27号	溆浦县	怀化市	B02E90QE63	[]	华硕电脑	湖南省	[]	购物服务;家电电子卖场;数码电子	060306	110.586380	27.903959	华硕
72	115.062359,40.606870	国大电器1楼	宣化区	张家口市	B0FFFOJ6E9	[]	华硕电脑	河北省	0313-3059834	购物服务;家电电子卖场;数码电子	060306	115.062359	40.606870	华硕
73	116.635460,27.552910	庙麻段与建昌大道交叉口东北100米	南城县	抚州市	B0FFHFS7DM	[]	华硕电脑	江西省	0794-7210848;18970473869	购物服务;家电电子卖场;数码电子	060306	116.635460	27.552910	华硕
74	132.209950,46.330875	中央大街373号	宝清县	双鸭山市	B01D50LSF2	[]	华硕电脑	黑龙江省	[]	购物服务;家电电子卖场;数码电子	060306	132.209950	46.330875	华硕
75	117.989022,36.738967	双杨镇小屯村	淄川区	淄博市	B02150R5GN	[]	华硕通讯	山东省	[]	购物服务;家电电子卖场;手机销售	060305	117.989022	36.738967	华硕
76	113.005504,28.190503	凯通国际城3栋1层	芙蓉区	长沙市	B0FFI9KM7D	[]	华硕电脑	湖南省	[]	购物服务;家电电子卖场;数码电子	060306	113.005504	28.190503	华硕
77	120.917413,31.985507	世纪东城43-23号	崇川区	南通市	B0FFF02SHP	[]	华硕仪器	江苏省	0513-55083510	购物服务;专卖店;专营店	061200	120.917413	31.985507	华硕
78	105.468820,32.038835	城北路与4063县道交叉口东150米	剑阁县	广元市	B0FFG8YIM8	[]	华硕厨卫	四川省	[]	购物服务;家居建材市场;厨卫市场	060604	105.468820	32.038835	华硕
79	121.618250,31.137657	康桥镇秀沿路3668号	浦东新区	上海市	B0015574VT	[]	华硕	上海市	021-38113768	公司企业;公司;公司	170200	121.618250	31.137657	华硕
80	112.557792,37.836841	寇庄西路48-4号	小店区	太原市	B0FFGE2J63	[]	华硕大厦	山西省	[]	商务住宅;楼宇;商务写字楼	120201	112.557792	37.836841	华硕
81	114.456323,37.940006	寺家庄镇繁荣街与富强路交口西行50米路北	鹿泉区	石家庄市	B0FFF66HSB	[]	华硕苑	河北省	[]	商务住宅;住宅区;住宅小区	120302	114.456323	37.940006	华硕
82	121.368302,31.07155	金都西路	闵行区	上海市	B0FFGK8LQ3	[]	华硕大楼	上海市	021-31270606	商务住宅;楼宇;商务写字楼	120201	121.368302	31.07155	华硕
83	116.030184,36.430957	东昌府区	东昌府区	聊城市	B0FFGQIGXU	[]	华硕路	山东省	[]	地名地址信息;交通地名;道路名	190301	116.030184	36.430957	华硕
84	119.313732,41.601035	天义镇哈河大街新客站商街内(新汽车站旁)	宁城县	赤峰市	B01DC16HOK	[]	华硕宾馆	内蒙古自治区	15934939587	住宿服务;宾馆酒店;宾馆酒店	100100	119.313732	41.601035	华硕
85	116.094363,38.631254	任丘市	任丘市	沧州市	B0FFGQN3I6	[]	华硕路	河北省	[]	地名地址信息;交通地名;道路名	190301	116.094363	38.631254	华硕
86	116.719739,38.052726	南皮镇将军中路凤凰公园东300米	南皮县	沧州市	B0FFFVBBAR	[]	华硕宾馆	河北省	[]	住宿服务;宾馆酒店;宾馆酒店	100100	116.719739	38.052726	华硕
87	119.644705,41.400170	万寿路56号	建平县	朝阳市	B01A506ZE7	[]	华硕网吧	辽宁省	0421-7888898	体育休闲服务;娱乐场所;网吧	080308	119.644705	41.400170	华硕
88	104.748293,26.296007	212省道西50米	水城县	六盘水市	B0FFI1OFC0	[]	华硕网吧	贵州省	[]	体育休闲服务;娱乐场所;网吧	080308	104.748293	26.296007	华硕
89	103.805717,25.509664	玄天宫南宁北路255号	麒麟区	曲靖市	B0FFG46LAI	[]	华硕网咖	云南省	[]	体育休闲服务;娱乐场所;网吧	080308	103.805717	25.509664	华硕
90	112.559043,37.836864	寇庄北街27-4号	小店区	太原市	B015F0HV6H	[]	华硕商务	山西省	[]	商务住宅;楼宇;商务写字楼	120201	112.559043	37.836864	华硕
91	119.828322,28.919165	白洋街道白洋渡环城东路10号	武义县	金华市	B0FFF363RO	[]	华硕宾馆(环城东路)	浙江省	0579-87631377	住宿服务;宾馆酒店;宾馆酒店	100100	119.828322	28.919165	华硕
92	116.249483,38.022404	302省道北50米	泊头市	沧州市	B013D00W76	[]	华硕机械	河北省	[]	公司企业;公司;机械电子	170204	116.249483	38.022404	华硕
93	114.684892,38.265973	机场路10号	正定县	石家庄市	B01370Y212	[]	华硕宾馆(装修中)	河北省	13513313234	住宿服务;宾馆酒店;宾馆酒店	100100	114.684892	38.265973	华硕
94	116.355946,37.465233	开发区大学东路华宇工学院	德城区	德州市	B0FFHYM0VE	[]	华硕餐厅(华宇店)	山东省	15053481111	餐饮服务;餐饮相关场所;餐饮相关	050000	116.355946	37.465233	华硕
95	117.184906,34.177532	铜山新区二堡北京南路75号	铜山区	徐州市	B0FFFZJ5LO	[]	华硕宾馆(赣江路)	江苏省	0516-83508395	住宿服务;宾馆酒店;宾馆酒店	100100	117.184906	34.177532	华硕
96	117.058676,36.682515	花园路银储大厦B1层	历城区	济南市	B0FFGKGO5W	[]	华硕网咖(花园路店)	山东省	0531-87933618	体育休闲服务;娱乐场所;网吧	080308	117.058676	36.682515	华硕
97	115.998797,36.389967	聊位路193号	东昌府区	聊城市	B0FFH59LMM	[]	聊城华硕医院	山东省	0635-8311116	医疗保健服务;综合医院;综合医院	090100	115.998797	36.389967	华硕
98	114.934300,26.960081	吉安县	吉安县	吉安市	B0FFGRGVWN	[]	华硕大道	江西省	[]	地名地址信息;交通地名;道路名	190301	114.934300	26.960081	华硕
99	121.238640,31.382245	环城路2390号金百合水疗大浴场	嘉定区	上海市	B0FFHVRE09	[]	华硕客栈	上海市	[]	住宿服务;旅馆招待所;旅馆招待所	100200	121.238640	31.382245	华硕
100	119.450504,32.201482	健康路42-108号	京口区	镇江市	B01FF0O9I8	[]	华硕(仁章路)	江苏省	0511-85241120	购物服务;家电电子卖场;数码电子|生活服务;维修站点;维修站点	060306|071200	119.450504	32.201482	华硕
101	115.394499,37.363478	大庆路蓝天东方乐购超市西行70米路北	南宫市	邢台市	B013F0MRV5	[]	华硕(南宫专卖店)	河北省	13932965895	购物服务;家电电子卖场;数码电子	060306	115.394499	37.363478	华硕
102	105.814237,28.038746	滨河路10号	古蔺县	泸州市	B033E0NCVP	[]	华硕(建鸿路)	四川省	[]	购物服务;家电电子卖场;数码电子	060306	105.814237	28.038746	华硕
103	116.102408,25.095192	政府路中国建设银行西北侧70米	武平县	龙岩市	B025502MZX	[]	华硕(政府路)	福建省	0597-4866116	购物服务;家电电子卖场;数码电子	060306	116.102408	25.095192	华硕
104	116.096611,38.991788	温泉路562号	雄县	保定市	B01380Q2GS	[]	华硕(温泉路)	河北省	13398634666	购物服务;家电电子卖场;数码电子	060306	116.096611	38.991788	华硕
105	119.891750,29.448431	文宣西路17-19号	浦江县	金华市	B024315E48	[]	华硕(文宣西路)	浙江省	0579-88186566	购物服务;家电电子卖场;数码电子	060306	119.891750	29.448431	华硕
106	118.213612,33.456241	青阳镇工人路银河国际商贸城a08幢	泗洪县	宿迁市	B020F0IFOO	[]	华硕(五台山南路)	江苏省	[]	购物服务;家电电子卖场;数码电子	060306	118.213612	33.456241	华硕
107	117.178866,26.899531	状元街35号	泰宁县	三明市	B0256020SM	[]	华硕(状元街)	福建省	0598-7838088	购物服务;家电电子卖场;数码电子	060306	117.178866	26.899531	华硕
108	112.739006,30.457239	五七大道188号附近	潜江市	潜江市	B0AA80LXYE	[]	华硕(五七大道)	湖北省	0728-6557885;13997982527	购物服务;家电电子卖场;数码电子	060306	112.739006	30.457239	华硕
109	113.315305,22.975649	嘉胜路5号1楼	番禺区	广州市	B0FFFAHBUR	[]	华硕(嘉胜路)	广东省	[]	购物服务;家电电子卖场;家电电子卖场	060300	113.315305	22.975649	华硕
110	110.066752,41.026396	金山镇阿拉塔大街	固阳县	包头市	B01D803AFB	[]	华硕(支农路)	内蒙古自治区	[]	购物服务;家电电子卖场;数码电子	060306	110.066752	41.026396	华硕
111	110.004998,39.822436	鄂托克东街北3号(近鄂托克街)	东胜区	鄂尔多斯市	B01DD0I945	[]	华硕(鄂托克街店)	内蒙古自治区	0477-8330956	购物服务;家电电子卖场;数码电子	060306	110.004998	39.822436	华硕
112	121.687620,31.390076	长兴镇凤西路454号	崇明区	上海市	B00155N8MJ	[]	华硕(凤西路店)	上海市	[]	购物服务;家电电子卖场;数码电子	060306	121.687620	31.390076	华硕
113	113.889262,35.298293	和平大道166号附近	红旗区	新乡市	B0FFGKPORH	[]	华硕(和平大道中)	河南省	[]	购物服务;家电电子卖场;数码电子	060306	113.889262	35.298293	华硕
114	111.086152,39.021882	府前街县政府对面	保德县	忻州市	B015E0MM9M	[]	华硕(府前大街)	山西省	0350-7326158	购物服务;家电电子卖场;数码电子	060306	111.086152	39.021882	华硕
115	118.790988,32.049577	珠江路237号	玄武区	南京市	B0FFFX703Z	[]	华硕(旗舰店)	江苏省	15205155957	购物服务;家电电子卖场;数码电子	060306	118.790988	32.049577	华硕
116	112.887834,28.675380	尚书路81号	湘阴县	岳阳市	B02DA0311G	[]	华硕(尚书路)	湖南省	[]	购物服务;家电电子卖场;数码电子	060306	112.887834	28.675380	华硕
117	119.956064,31.765643	劳动西路和晋陵南路交叉口九洲数码城1层	天宁区	常州市	B0FFG56PC8	[]	华硕(劳动西路)	江苏省	13915089260	购物服务;家电电子卖场;数码电子	060306	119.956064	31.765643	华硕
118	117.185728,34.255731	中山南路100-5号	泉山区	徐州市	B0FFG7F1B1	[]	华硕(中山南路)	江苏省	0516-80101265;0516-66698232	购物服务;家电电子卖场;数码电子	060306	117.185728	34.255731	华硕
119	113.042311,36.530828	太行路与新建东街交叉口东100米	襄垣县	长治市	B01630MI5H	[]	华硕(新建东街)	山西省	[]	购物服务;家电电子卖场;数码电子	060306	113.042311	36.530828	华硕
120	108.337521,22.806201	星湖路8号可高-至胜广场12楼1201	青秀区	南宁市	B0FFFE8CR5	[]	华硕(星湖路)	广西壮族自治区	[]	购物服务;家电电子卖场;数码电子	060306	108.337521	22.806201	华硕
121	106.087264,30.795752	得益时代广场1楼	顺庆区	南充市	B0FFG8Q2JQ	[]	华硕(赛场街)	四川省	13990806065	购物服务;家电电子卖场;数码电子	060306	106.087264	30.795752	华硕
122	116.126433,24.308374	江边路17-17号	梅江区	梅州市	B0FFG838RP	[]	华硕(旗舰店)	广东省	[]	购物服务;家电电子卖场;数码电子	060306	116.126433	24.308374	华硕
123	120.968875,28.115887	民丰路66号	乐清市	温州市	B024105FZC	[]	华硕(民丰路)	浙江省	0577-62592816	购物服务;家电电子卖场;数码电子	060306	120.968875	28.115887	华硕
124	106.709426,26.573713	公园南路38号	南明区	贵阳市	B0FFFGM15Y	[]	华硕(都司路)	贵州省	[]	购物服务;家电电子卖场;数码电子	060306	106.709426	26.573713	华硕
125	116.332104,39.729116	黄村镇兴华大街三段57号	大兴区	北京市	B0FFG8GVNQ	[]	华硕(大兴专卖店)	北京市	010-69209775;13391717196	购物服务;家电电子卖场;数码电子	060306	116.332104	39.729116	华硕
126	121.481129,31.225487	淮海东路99号新尚数码广场F3层	黄浦区	上海市	B0FFI6ONDC	[]	华硕(新尚数码广场)	上海市	[]	购物服务;家电电子卖场;数码电子	060306	121.481129	31.225487	华硕
127	121.480974,31.225383	淮海东路99号新尚数码广场F1层	黄浦区	上海市	B0FFI6ONBG	[]	华硕(新尚数码广场)	上海市	[]	购物服务;家电电子卖场;数码电子	060306	121.480974	31.225383	华硕
128	117.382473,37.778948	建设街568号	庆云县	德州市	B02160PJPO	[]	华硕(建设街)	山东省	15853468640	购物服务;家电电子卖场;数码电子	060306	117.382473	37.778948	华硕
129	116.413896,39.786157	南小街路五条与芳源西路交叉口东南50米	大兴区	北京市	B0FFF0FW38	[]	华硕(芳源西路)	北京市	15910813030	购物服务;家电电子卖场;数码电子	060306	116.413896	39.786157	华硕
130	114.349535,36.114427	赛博数码广场07-08号	北关区	安阳市	B0FFG11Q09	[]	华硕(自由路)	河南省	[]	购物服务;家电电子卖场;数码电子	060306	114.349535	36.114427	华硕
131	114.654741,33.614921	八一大道与交通大道交叉口向北50米路西	川汇区	周口市	B0FFG2TLDC	[]	华硕(育新街)	河南省	15138226661	购物服务;家电电子卖场;数码电子	060306	114.654741	33.614921	华硕
132	119.645806,29.071238	环城南路1586号龙腾铭德广场A52(近新农贸)	婺城区	金华市	B0243180CL	[]	华硕(环城南路)	浙江省	18905798080	购物服务;家电电子卖场;家电电子卖场	060300	119.645806	29.071238	华硕
133	113.866342,22.943972	寮步镇石步村石大路130号	东莞市	东莞市	B03017VW50	[]	华硕(幸福店)	广东省	[]	购物服务;家电电子卖场;数码电子	060306	113.866342	22.943972	华硕
134	108.834638,34.536466	泾云路68号(新车站对面,消防队南50米)	泾阳县	咸阳市	B0FFG6VDC9	[]	华硕(泾阳授权核心店)	陕西省	029-36228369;13379093061	购物服务;家电电子卖场;数码电子	060306	108.834638	34.536466	华硕
135	120.095267,29.315531	宾王路211号C区2楼T08	义乌市	金华市	B0FFFYBTD7	[]	华硕(赵宅路)	浙江省	0579-85551235	购物服务;家电电子卖场;数码电子	060306	120.095267	29.315531	华硕
